invoice_date,day,month,year,quarter
22-02-2022 00:00,22,2,2022,1
12-03-2021 00:00,12,3,2021,1
02-01-2022 00:00,2,1,2022,1
26-11-2021 00:00,26,11,2021,4
21-04-2021 00:00,21,4,2021,2
23-06-2021 00:00,23,6,2021,2
14-12-2021 00:00,14,12,2021,4
09-06-2022 00:00,9,6,2022,2
26-11-2021 00:00,26,11,2021,4
05-02-2021 00:00,5,2,2021,1
06-03-2022 00:00,6,3,2022,1
09-05-2022 00:00,9,5,2022,2
17-10-2022 00:00,17,10,2022,4
22-01-2022 00:00,22,1,2022,1
14-03-2021 00:00,14,3,2021,1
27-04-2022 00:00,27,4,2022,2
19-11-2021 00:00,19,11,2021,4
10-09-2022 00:00,10,9,2022,3
04-09-2021 00:00,4,9,2021,3
21-08-2022 00:00,21,8,2022,3
02-10-2021 00:00,2,10,2021,4
07-01-2023 00:00,7,1,2023,1
08-06-2021 00:00,8,6,2021,2
17-04-2021 00:00,17,4,2021,2
04-09-2021 00:00,4,9,2021,3
20-07-2022 00:00,20,7,2022,3
14-07-2021 00:00,14,7,2021,3
01-11-2022 00:00,1,11,2022,4
06-01-2023 00:00,6,1,2023,1
25-03-2021 00:00,25,3,2021,1
08-09-2022 00:00,8,9,2022,3
18-02-2022 00:00,18,2,2022,1
22-04-2021 00:00,22,4,2021,2
15-10-2022 00:00,15,10,2022,4
07-04-2022 00:00,7,4,2022,2
07-06-2022 00:00,7,6,2022,2
22-01-2023 00:00,22,1,2023,1
22-08-2022 00:00,22,8,2022,3
03-10-2021 00:00,3,10,2021,4
29-07-2021 00:00,29,7,2021,3
16-12-2022 00:00,16,12,2022,4
03-06-2021 00:00,3,6,2021,2
17-12-2021 00:00,17,12,2021,4
31-12-2022 00:00,31,12,2022,4
09-08-2022 00:00,9,8,2022,3
31-07-2022 00:00,31,7,2022,3
04-05-2021 00:00,4,5,2021,2
25-05-2022 00:00,25,5,2022,2
23-12-2022 00:00,23,12,2022,4
24-01-2023 00:00,24,1,2023,1
14-09-2021 00:00,14,9,2021,3
04-02-2022 00:00,4,2,2022,1
06-01-2022 00:00,6,1,2022,1
01-02-2022 00:00,1,2,2022,1
26-10-2022 00:00,26,10,2022,4
21-09-2022 00:00,21,9,2022,3
12-12-2021 00:00,12,12,2021,4
21-08-2021 00:00,21,8,2021,3
08-10-2021 00:00,8,10,2021,4
22-11-2021 00:00,22,11,2021,4
19-03-2022 00:00,19,3,2022,1
19-10-2022 00:00,19,10,2022,4
12-01-2022 00:00,12,1,2022,1
07-06-2021 00:00,7,6,2021,2
15-01-2023 00:00,15,1,2023,1
11-11-2021 00:00,11,11,2021,4
21-09-2022 00:00,21,9,2022,3
30-05-2021 00:00,30,5,2021,2
23-12-2021 00:00,23,12,2021,4
30-04-2022 00:00,30,4,2022,2
07-06-2021 00:00,7,6,2021,2
21-02-2022 00:00,21,2,2022,1
26-08-2021 00:00,26,8,2021,3
15-12-2021 00:00,15,12,2021,4
20-02-2021 00:00,20,2,2021,1
08-10-2021 00:00,8,10,2021,4
01-08-2022 00:00,1,8,2022,3
09-09-2021 00:00,9,9,2021,3
25-10-2021 00:00,25,10,2021,4
14-12-2021 00:00,14,12,2021,4
20-06-2021 00:00,20,6,2021,2
07-04-2021 00:00,7,4,2021,2
05-12-2021 00:00,5,12,2021,4
25-05-2021 00:00,25,5,2021,2
12-04-2022 00:00,12,4,2022,2
16-12-2021 00:00,16,12,2021,4
21-02-2021 00:00,21,2,2021,1
26-10-2021 00:00,26,10,2021,4
18-12-2022 00:00,18,12,2022,4
19-09-2022 00:00,19,9,2022,3
01-02-2023 00:00,1,2,2023,1
05-10-2022 00:00,5,10,2022,4
28-11-2021 00:00,28,11,2021,4
03-08-2021 00:00,3,8,2021,3
12-10-2022 00:00,12,10,2022,4
28-09-2022 00:00,28,9,2022,3
12-07-2021 00:00,12,7,2021,3
03-07-2021 00:00,3,7,2021,3
26-03-2022 00:00,26,3,2022,1
17-05-2022 00:00,17,5,2022,2
11-04-2022 00:00,11,4,2022,2
22-10-2021 00:00,22,10,2021,4
20-12-2021 00:00,20,12,2021,4
17-03-2022 00:00,17,3,2022,1
23-06-2022 00:00,23,6,2022,2
19-06-2021 00:00,19,6,2021,2
30-08-2022 00:00,30,8,2022,3
20-11-2021 00:00,20,11,2021,4
31-07-2021 00:00,31,7,2021,3
20-02-2022 00:00,20,2,2022,1
09-02-2023 00:00,9,2,2023,1
24-03-2021 00:00,24,3,2021,1
25-08-2022 00:00,25,8,2022,3
21-10-2021 00:00,21,10,2021,4
28-05-2022 00:00,28,5,2022,2
05-03-2022 00:00,5,3,2022,1
05-10-2021 00:00,5,10,2021,4
16-04-2021 00:00,16,4,2021,2
26-02-2023 00:00,26,2,2023,1
20-03-2021 00:00,20,3,2021,1
15-05-2022 00:00,15,5,2022,2
31-01-2023 00:00,31,1,2023,1
02-10-2021 00:00,2,10,2021,4
03-08-2022 00:00,3,8,2022,3
28-03-2021 00:00,28,3,2021,1
21-11-2022 00:00,21,11,2022,4
12-02-2021 00:00,12,2,2021,1
03-04-2021 00:00,3,4,2021,2
03-07-2022 00:00,3,7,2022,3
14-02-2021 00:00,14,2,2021,1
15-07-2022 00:00,15,7,2022,3
12-07-2021 00:00,12,7,2021,3
19-05-2022 00:00,19,5,2022,2
13-02-2023 00:00,13,2,2023,1
27-11-2022 00:00,27,11,2022,4
02-03-2021 00:00,2,3,2021,1
16-10-2021 00:00,16,10,2021,4
04-11-2021 00:00,4,11,2021,4
11-01-2023 00:00,11,1,2023,1
08-06-2022 00:00,8,6,2022,2
24-05-2021 00:00,24,5,2021,2
18-01-2021 00:00,18,1,2021,1
22-07-2021 00:00,22,7,2021,3
25-09-2022 00:00,25,9,2022,3
10-09-2021 00:00,10,9,2021,3
16-01-2022 00:00,16,1,2022,1
13-11-2022 00:00,13,11,2022,4
14-03-2021 00:00,14,3,2021,1
23-07-2022 00:00,23,7,2022,3
24-06-2021 00:00,24,6,2021,2
30-01-2021 00:00,30,1,2021,1
17-04-2022 00:00,17,4,2022,2
23-02-2023 00:00,23,2,2023,1
05-07-2021 00:00,5,7,2021,3
31-08-2021 00:00,31,8,2021,3
09-09-2022 00:00,9,9,2022,3
04-11-2021 00:00,4,11,2021,4
30-06-2022 00:00,30,6,2022,2
24-07-2021 00:00,24,7,2021,3
15-04-2022 00:00,15,4,2022,2
25-09-2021 00:00,25,9,2021,3
24-08-2021 00:00,24,8,2021,3
26-01-2021 00:00,26,1,2021,1
05-02-2022 00:00,5,2,2022,1
09-12-2022 00:00,9,12,2022,4
14-02-2021 00:00,14,2,2021,1
17-07-2022 00:00,17,7,2022,3
03-01-2021 00:00,3,1,2021,1
22-09-2022 00:00,22,9,2022,3
27-06-2021 00:00,27,6,2021,2
03-02-2023 00:00,3,2,2023,1
29-07-2021 00:00,29,7,2021,3
08-12-2022 00:00,8,12,2022,4
11-08-2022 00:00,11,8,2022,3
13-09-2021 00:00,13,9,2021,3
27-05-2022 00:00,27,5,2022,2
07-12-2022 00:00,7,12,2022,4
05-01-2022 00:00,5,1,2022,1
05-04-2022 00:00,5,4,2022,2
10-01-2022 00:00,10,1,2022,1
30-01-2022 00:00,30,1,2022,1
21-12-2022 00:00,21,12,2022,4
24-02-2021 00:00,24,2,2021,1
19-07-2022 00:00,19,7,2022,3
15-01-2023 00:00,15,1,2023,1
12-01-2023 00:00,12,1,2023,1
05-11-2022 00:00,5,11,2022,4
23-07-2021 00:00,23,7,2021,3
30-06-2022 00:00,30,6,2022,2
01-11-2022 00:00,1,11,2022,4
27-10-2022 00:00,27,10,2022,4
21-08-2022 00:00,21,8,2022,3
13-03-2021 00:00,13,3,2021,1
04-08-2022 00:00,4,8,2022,3
01-04-2021 00:00,1,4,2021,2
08-08-2021 00:00,8,8,2021,3
28-06-2021 00:00,28,6,2021,2
25-01-2021 00:00,25,1,2021,1
22-11-2021 00:00,22,11,2021,4
13-11-2022 00:00,13,11,2022,4
12-08-2022 00:00,12,8,2022,3
18-09-2022 00:00,18,9,2022,3
08-06-2021 00:00,8,6,2021,2
30-08-2021 00:00,30,8,2021,3
19-06-2022 00:00,19,6,2022,2
15-12-2022 00:00,15,12,2022,4
29-12-2021 00:00,29,12,2021,4
19-06-2022 00:00,19,6,2022,2
16-06-2021 00:00,16,6,2021,2
07-02-2021 00:00,7,2,2021,1
17-01-2023 00:00,17,1,2023,1
20-01-2022 00:00,20,1,2022,1
31-07-2022 00:00,31,7,2022,3
30-09-2021 00:00,30,9,2021,3
06-04-2022 00:00,6,4,2022,2
14-11-2022 00:00,14,11,2022,4
24-02-2021 00:00,24,2,2021,1
25-05-2021 00:00,25,5,2021,2
22-03-2021 00:00,22,3,2021,1
22-12-2022 00:00,22,12,2022,4
07-07-2021 00:00,7,7,2021,3
18-09-2021 00:00,18,9,2021,3
18-02-2022 00:00,18,2,2022,1
13-06-2021 00:00,13,6,2021,2
30-05-2021 00:00,30,5,2021,2
26-03-2021 00:00,26,3,2021,1
27-07-2022 00:00,27,7,2022,3
06-04-2022 00:00,6,4,2022,2
04-02-2022 00:00,4,2,2022,1
26-06-2022 00:00,26,6,2022,2
25-07-2022 00:00,25,7,2022,3
19-09-2021 00:00,19,9,2021,3
10-10-2022 00:00,10,10,2022,4
29-03-2022 00:00,29,3,2022,1
09-07-2021 00:00,9,7,2021,3
25-01-2022 00:00,25,1,2022,1
14-12-2021 00:00,14,12,2021,4
04-09-2022 00:00,4,9,2022,3
14-08-2022 00:00,14,8,2022,3
03-02-2022 00:00,3,2,2022,1
03-01-2021 00:00,3,1,2021,1
05-12-2021 00:00,5,12,2021,4
14-06-2022 00:00,14,6,2022,2
13-08-2021 00:00,13,8,2021,3
11-01-2022 00:00,11,1,2022,1
22-12-2021 00:00,22,12,2021,4
04-02-2021 00:00,4,2,2021,1
22-02-2022 00:00,22,2,2022,1
14-09-2021 00:00,14,9,2021,3
03-08-2021 00:00,3,8,2021,3
02-01-2023 00:00,2,1,2023,1
23-11-2022 00:00,23,11,2022,4
10-01-2023 00:00,10,1,2023,1
10-01-2022 00:00,10,1,2022,1
06-08-2022 00:00,6,8,2022,3
19-02-2023 00:00,19,2,2023,1
29-06-2021 00:00,29,6,2021,2
01-07-2021 00:00,1,7,2021,3
07-02-2022 00:00,7,2,2022,1
10-10-2021 00:00,10,10,2021,4
30-06-2021 00:00,30,6,2021,2
24-03-2022 00:00,24,3,2022,1
17-09-2022 00:00,17,9,2022,3
31-07-2021 00:00,31,7,2021,3
21-11-2022 00:00,21,11,2022,4
04-09-2022 00:00,4,9,2022,3
18-02-2021 00:00,18,2,2021,1
21-03-2021 00:00,21,3,2021,1
02-09-2022 00:00,2,9,2022,3
16-06-2021 00:00,16,6,2021,2
26-01-2023 00:00,26,1,2023,1
01-07-2022 00:00,1,7,2022,3
25-01-2023 00:00,25,1,2023,1
23-09-2022 00:00,23,9,2022,3
08-09-2021 00:00,8,9,2021,3
31-10-2022 00:00,31,10,2022,4
18-10-2021 00:00,18,10,2021,4
15-07-2022 00:00,15,7,2022,3
31-05-2021 00:00,31,5,2021,2
22-12-2021 00:00,22,12,2021,4
28-10-2022 00:00,28,10,2022,4
13-06-2021 00:00,13,6,2021,2
25-09-2022 00:00,25,9,2022,3
18-08-2021 00:00,18,8,2021,3
16-09-2021 00:00,16,9,2021,3
15-11-2022 00:00,15,11,2022,4
07-08-2021 00:00,7,8,2021,3
25-05-2021 00:00,25,5,2021,2
12-07-2022 00:00,12,7,2022,3
14-09-2022 00:00,14,9,2022,3
06-03-2022 00:00,6,3,2022,1
23-02-2023 00:00,23,2,2023,1
25-06-2021 00:00,25,6,2021,2
31-07-2022 00:00,31,7,2022,3
08-04-2021 00:00,8,4,2021,2
01-04-2021 00:00,1,4,2021,2
13-02-2022 00:00,13,2,2022,1
15-06-2022 00:00,15,6,2022,2
19-07-2022 00:00,19,7,2022,3
01-07-2022 00:00,1,7,2022,3
19-06-2021 00:00,19,6,2021,2
11-01-2022 00:00,11,1,2022,1
05-12-2022 00:00,5,12,2022,4
21-04-2021 00:00,21,4,2021,2
10-11-2021 00:00,10,11,2021,4
19-09-2022 00:00,19,9,2022,3
18-01-2021 00:00,18,1,2021,1
21-04-2022 00:00,21,4,2022,2
25-11-2022 00:00,25,11,2022,4
09-11-2022 00:00,9,11,2022,4
03-01-2022 00:00,3,1,2022,1
19-02-2022 00:00,19,2,2022,1
15-12-2022 00:00,15,12,2022,4
08-11-2021 00:00,8,11,2021,4
01-05-2022 00:00,1,5,2022,2
14-04-2021 00:00,14,4,2021,2
28-06-2021 00:00,28,6,2021,2
10-06-2022 00:00,10,6,2022,2
12-05-2022 00:00,12,5,2022,2
27-12-2022 00:00,27,12,2022,4
16-08-2021 00:00,16,8,2021,3
05-03-2021 00:00,5,3,2021,1
09-02-2023 00:00,9,2,2023,1
26-02-2023 00:00,26,2,2023,1
17-02-2023 00:00,17,2,2023,1
08-08-2022 00:00,8,8,2022,3
08-03-2023 00:00,8,3,2023,1
02-10-2021 00:00,2,10,2021,4
22-12-2021 00:00,22,12,2021,4
12-09-2021 00:00,12,9,2021,3
23-03-2022 00:00,23,3,2022,1
11-12-2021 00:00,11,12,2021,4
29-12-2022 00:00,29,12,2022,4
08-03-2023 00:00,8,3,2023,1
10-02-2021 00:00,10,2,2021,1
10-05-2021 00:00,10,5,2021,2
06-03-2022 00:00,6,3,2022,1
29-03-2021 00:00,29,3,2021,1
04-10-2022 00:00,4,10,2022,4
04-11-2021 00:00,4,11,2021,4
08-11-2022 00:00,8,11,2022,4
17-05-2021 00:00,17,5,2021,2
16-06-2022 00:00,16,6,2022,2
24-09-2022 00:00,24,9,2022,3
04-04-2022 00:00,4,4,2022,2
18-10-2022 00:00,18,10,2022,4
16-10-2021 00:00,16,10,2021,4
17-05-2021 00:00,17,5,2021,2
03-02-2023 00:00,3,2,2023,1
15-11-2022 00:00,15,11,2022,4
29-07-2021 00:00,29,7,2021,3
17-07-2021 00:00,17,7,2021,3
08-03-2022 00:00,8,3,2022,1
22-09-2022 00:00,22,9,2022,3
01-08-2022 00:00,1,8,2022,3
03-04-2021 00:00,3,4,2021,2
21-11-2021 00:00,21,11,2021,4
17-09-2021 00:00,17,9,2021,3
09-08-2022 00:00,9,8,2022,3
08-09-2021 00:00,8,9,2021,3
08-10-2021 00:00,8,10,2021,4
03-03-2021 00:00,3,3,2021,1
26-12-2021 00:00,26,12,2021,4
13-02-2023 00:00,13,2,2023,1
04-07-2021 00:00,4,7,2021,3
26-01-2021 00:00,26,1,2021,1
05-10-2022 00:00,5,10,2022,4
05-04-2021 00:00,5,4,2021,2
27-03-2021 00:00,27,3,2021,1
21-11-2022 00:00,21,11,2022,4
21-02-2022 00:00,21,2,2022,1
22-08-2022 00:00,22,8,2022,3
06-12-2022 00:00,6,12,2022,4
25-03-2021 00:00,25,3,2021,1
05-03-2021 00:00,5,3,2021,1
02-08-2021 00:00,2,8,2021,3
16-04-2021 00:00,16,4,2021,2
03-02-2023 00:00,3,2,2023,1
06-05-2022 00:00,6,5,2022,2
05-02-2022 00:00,5,2,2022,1
01-12-2022 00:00,1,12,2022,4
16-12-2021 00:00,16,12,2021,4
06-01-2023 00:00,6,1,2023,1
08-12-2021 00:00,8,12,2021,4
23-02-2021 00:00,23,2,2021,1
07-01-2022 00:00,7,1,2022,1
14-02-2022 00:00,14,2,2022,1
20-05-2022 00:00,20,5,2022,2
15-10-2021 00:00,15,10,2021,4
02-02-2023 00:00,2,2,2023,1
09-11-2021 00:00,9,11,2021,4
09-01-2023 00:00,9,1,2023,1
22-11-2021 00:00,22,11,2021,4
07-01-2023 00:00,7,1,2023,1
23-09-2022 00:00,23,9,2022,3
24-06-2022 00:00,24,6,2022,2
04-07-2021 00:00,4,7,2021,3
23-08-2021 00:00,23,8,2021,3
11-08-2022 00:00,11,8,2022,3
02-08-2021 00:00,2,8,2021,3
07-07-2022 00:00,7,7,2022,3
13-02-2022 00:00,13,2,2022,1
17-10-2022 00:00,17,10,2022,4
14-11-2022 00:00,14,11,2022,4
24-03-2021 00:00,24,3,2021,1
19-02-2021 00:00,19,2,2021,1
12-11-2022 00:00,12,11,2022,4
13-04-2021 00:00,13,4,2021,2
03-05-2021 00:00,3,5,2021,2
24-04-2022 00:00,24,4,2022,2
17-12-2022 00:00,17,12,2022,4
19-11-2022 00:00,19,11,2022,4
22-09-2022 00:00,22,9,2022,3
16-03-2022 00:00,16,3,2022,1
01-01-2022 00:00,1,1,2022,1
23-07-2021 00:00,23,7,2021,3
22-12-2021 00:00,22,12,2021,4
09-03-2022 00:00,9,3,2022,1
20-02-2022 00:00,20,2,2022,1
14-11-2021 00:00,14,11,2021,4
23-01-2022 00:00,23,1,2022,1
16-01-2021 00:00,16,1,2021,1
02-04-2022 00:00,2,4,2022,2
16-10-2022 00:00,16,10,2022,4
18-01-2023 00:00,18,1,2023,1
27-09-2022 00:00,27,9,2022,3
31-01-2022 00:00,31,1,2022,1
10-12-2022 00:00,10,12,2022,4
08-04-2022 00:00,8,4,2022,2
05-08-2022 00:00,5,8,2022,3
07-01-2023 00:00,7,1,2023,1
28-06-2021 00:00,28,6,2021,2
04-06-2022 00:00,4,6,2022,2
25-07-2021 00:00,25,7,2021,3
14-02-2021 00:00,14,2,2021,1
28-07-2022 00:00,28,7,2022,3
09-09-2022 00:00,9,9,2022,3
19-03-2022 00:00,19,3,2022,1
25-12-2022 00:00,25,12,2022,4
20-09-2022 00:00,20,9,2022,3
12-04-2022 00:00,12,4,2022,2
03-10-2021 00:00,3,10,2021,4
13-06-2022 00:00,13,6,2022,2
01-07-2021 00:00,1,7,2021,3
08-07-2022 00:00,8,7,2022,3
02-02-2022 00:00,2,2,2022,1
10-11-2022 00:00,10,11,2022,4
01-01-2023 00:00,1,1,2023,1
06-11-2021 00:00,6,11,2021,4
09-04-2021 00:00,9,4,2021,2
31-07-2021 00:00,31,7,2021,3
15-08-2022 00:00,15,8,2022,3
24-08-2021 00:00,24,8,2021,3
24-01-2022 00:00,24,1,2022,1
14-06-2022 00:00,14,6,2022,2
05-12-2021 00:00,5,12,2021,4
12-10-2021 00:00,12,10,2021,4
21-04-2022 00:00,21,4,2022,2
24-06-2021 00:00,24,6,2021,2
05-03-2023 00:00,5,3,2023,1
09-05-2021 00:00,9,5,2021,2
11-09-2021 00:00,11,9,2021,3
01-10-2021 00:00,1,10,2021,4
01-08-2021 00:00,1,8,2021,3
04-09-2021 00:00,4,9,2021,3
21-05-2021 00:00,21,5,2021,2
11-07-2022 00:00,11,7,2022,3
02-01-2023 00:00,2,1,2023,1
29-06-2021 00:00,29,6,2021,2
21-03-2021 00:00,21,3,2021,1
25-03-2022 00:00,25,3,2022,1
10-05-2021 00:00,10,5,2021,2
24-03-2022 00:00,24,3,2022,1
19-10-2021 00:00,19,10,2021,4
15-03-2022 00:00,15,3,2022,1
24-11-2022 00:00,24,11,2022,4
21-07-2022 00:00,21,7,2022,3
29-03-2021 00:00,29,3,2021,1
26-12-2022 00:00,26,12,2022,4
21-01-2023 00:00,21,1,2023,1
06-11-2021 00:00,6,11,2021,4
12-12-2021 00:00,12,12,2021,4
11-11-2022 00:00,11,11,2022,4
25-06-2022 00:00,25,6,2022,2
04-07-2022 00:00,4,7,2022,3
02-02-2023 00:00,2,2,2023,1
30-01-2021 00:00,30,1,2021,1
19-02-2023 00:00,19,2,2023,1
22-06-2022 00:00,22,6,2022,2
16-10-2022 00:00,16,10,2022,4
09-12-2022 00:00,9,12,2022,4
01-12-2022 00:00,1,12,2022,4
06-09-2021 00:00,6,9,2021,3
07-02-2022 00:00,7,2,2022,1
16-12-2021 00:00,16,12,2021,4
12-03-2022 00:00,12,3,2022,1
15-12-2022 00:00,15,12,2022,4
26-12-2021 00:00,26,12,2021,4
04-01-2021 00:00,4,1,2021,1
27-04-2022 00:00,27,4,2022,2
19-02-2023 00:00,19,2,2023,1
02-03-2023 00:00,2,3,2023,1
28-01-2021 00:00,28,1,2021,1
19-06-2021 00:00,19,6,2021,2
16-07-2021 00:00,16,7,2021,3
03-11-2021 00:00,3,11,2021,4
16-11-2021 00:00,16,11,2021,4
27-11-2022 00:00,27,11,2022,4
02-08-2021 00:00,2,8,2021,3
26-08-2022 00:00,26,8,2022,3
08-09-2021 00:00,8,9,2021,3
01-01-2022 00:00,1,1,2022,1
11-01-2023 00:00,11,1,2023,1
28-08-2021 00:00,28,8,2021,3
01-03-2021 00:00,1,3,2021,1
22-05-2021 00:00,22,5,2021,2
09-03-2021 00:00,9,3,2021,1
21-04-2021 00:00,21,4,2021,2
03-05-2021 00:00,3,5,2021,2
13-01-2022 00:00,13,1,2022,1
12-03-2022 00:00,12,3,2022,1
15-11-2022 00:00,15,11,2022,4
20-10-2021 00:00,20,10,2021,4
30-09-2021 00:00,30,9,2021,3
31-01-2021 00:00,31,1,2021,1
08-07-2021 00:00,8,7,2021,3
07-10-2021 00:00,7,10,2021,4
09-07-2021 00:00,9,7,2021,3
13-01-2021 00:00,13,1,2021,1
20-07-2022 00:00,20,7,2022,3
01-09-2021 00:00,1,9,2021,3
25-10-2022 00:00,25,10,2022,4
17-06-2022 00:00,17,6,2022,2
09-05-2021 00:00,9,5,2021,2
29-04-2022 00:00,29,4,2022,2
09-11-2021 00:00,9,11,2021,4
08-10-2021 00:00,8,10,2021,4
29-05-2022 00:00,29,5,2022,2
22-08-2022 00:00,22,8,2022,3
16-11-2022 00:00,16,11,2022,4
17-08-2022 00:00,17,8,2022,3
10-02-2023 00:00,10,2,2023,1
20-01-2021 00:00,20,1,2021,1
19-05-2022 00:00,19,5,2022,2
30-01-2023 00:00,30,1,2023,1
25-02-2021 00:00,25,2,2021,1
18-12-2022 00:00,18,12,2022,4
16-07-2022 00:00,16,7,2022,3
18-01-2022 00:00,18,1,2022,1
11-09-2021 00:00,11,9,2021,3
07-08-2022 00:00,7,8,2022,3
31-01-2021 00:00,31,1,2021,1
15-07-2021 00:00,15,7,2021,3
16-10-2021 00:00,16,10,2021,4
29-03-2021 00:00,29,3,2021,1
22-09-2021 00:00,22,9,2021,3
20-03-2021 00:00,20,3,2021,1
28-08-2022 00:00,28,8,2022,3
03-06-2022 00:00,3,6,2022,2
27-03-2021 00:00,27,3,2021,1
04-11-2021 00:00,4,11,2021,4
11-08-2021 00:00,11,8,2021,3
05-08-2022 00:00,5,8,2022,3
02-10-2022 00:00,2,10,2022,4
30-12-2022 00:00,30,12,2022,4
05-01-2022 00:00,5,1,2022,1
28-02-2022 00:00,28,2,2022,1
10-11-2022 00:00,10,11,2022,4
29-11-2022 00:00,29,11,2022,4
21-08-2021 00:00,21,8,2021,3
29-06-2021 00:00,29,6,2021,2
07-07-2021 00:00,7,7,2021,3
27-08-2022 00:00,27,8,2022,3
26-02-2023 00:00,26,2,2023,1
27-12-2021 00:00,27,12,2021,4
01-02-2023 00:00,1,2,2023,1
10-02-2022 00:00,10,2,2022,1
31-01-2021 00:00,31,1,2021,1
25-11-2021 00:00,25,11,2021,4
18-01-2023 00:00,18,1,2023,1
15-03-2021 00:00,15,3,2021,1
03-12-2022 00:00,3,12,2022,4
24-04-2022 00:00,24,4,2022,2
19-08-2022 00:00,19,8,2022,3
28-11-2021 00:00,28,11,2021,4
14-06-2021 00:00,14,6,2021,2
08-01-2021 00:00,8,1,2021,1
12-05-2021 00:00,12,5,2021,2
02-11-2022 00:00,2,11,2022,4
17-09-2022 00:00,17,9,2022,3
01-05-2022 00:00,1,5,2022,2
17-11-2022 00:00,17,11,2022,4
17-06-2022 00:00,17,6,2022,2
14-07-2022 00:00,14,7,2022,3
21-07-2022 00:00,21,7,2022,3
28-07-2021 00:00,28,7,2021,3
08-06-2021 00:00,8,6,2021,2
14-06-2022 00:00,14,6,2022,2
03-02-2021 00:00,3,2,2021,1
05-08-2022 00:00,5,8,2022,3
01-04-2022 00:00,1,4,2022,2
10-11-2022 00:00,10,11,2022,4
11-02-2023 00:00,11,2,2023,1
26-02-2023 00:00,26,2,2023,1
01-12-2022 00:00,1,12,2022,4
04-02-2021 00:00,4,2,2021,1
22-09-2021 00:00,22,9,2021,3
05-03-2021 00:00,5,3,2021,1
06-02-2023 00:00,6,2,2023,1
17-11-2022 00:00,17,11,2022,4
11-10-2021 00:00,11,10,2021,4
06-03-2021 00:00,6,3,2021,1
17-03-2022 00:00,17,3,2022,1
09-02-2021 00:00,9,2,2021,1
15-03-2021 00:00,15,3,2021,1
01-02-2023 00:00,1,2,2023,1
27-09-2021 00:00,27,9,2021,3
20-02-2022 00:00,20,2,2022,1
25-01-2023 00:00,25,1,2023,1
30-07-2021 00:00,30,7,2021,3
18-04-2021 00:00,18,4,2021,2
08-02-2021 00:00,8,2,2021,1
18-08-2022 00:00,18,8,2022,3
10-09-2021 00:00,10,9,2021,3
27-07-2021 00:00,27,7,2021,3
03-04-2021 00:00,3,4,2021,2
03-06-2021 00:00,3,6,2021,2
12-01-2021 00:00,12,1,2021,1
07-01-2021 00:00,7,1,2021,1
29-04-2021 00:00,29,4,2021,2
01-07-2021 00:00,1,7,2021,3
28-07-2021 00:00,28,7,2021,3
09-09-2021 00:00,9,9,2021,3
20-09-2021 00:00,20,9,2021,3
16-07-2021 00:00,16,7,2021,3
23-01-2023 00:00,23,1,2023,1
26-06-2021 00:00,26,6,2021,2
05-01-2022 00:00,5,1,2022,1
04-12-2022 00:00,4,12,2022,4
24-09-2021 00:00,24,9,2021,3
13-09-2022 00:00,13,9,2022,3
24-02-2023 00:00,24,2,2023,1
04-03-2021 00:00,4,3,2021,1
24-02-2021 00:00,24,2,2021,1
02-12-2021 00:00,2,12,2021,4
